Gene Population n BasePairs PerVar
or51e1 gwd_11:4673757 2 957 0.208986415882968
or51e1 ibs_11:4673757 9 957 0.940438871473354
or51e1 itu_11:4673757 5 957 0.522466039707419
or51e1 jpt_11:4673757 3 957 0.313479623824451
or51e1 khv_11:4673757 6 957 0.626959247648903
or51e1 lwk_11:4673757 2 957 0.208986415882968
or51e1 msl_11:4673757 2 957 0.208986415882968
or51e1 mxl_11:4673757 3 957 0.313479623824451
or51e1 pel_11:4673757 6 957 0.626959247648903
or51e1 pjl_11:4673757 4 957 0.417972831765935
or51e1 pur_11:4673757 5 957 0.522466039707419
or51e1 stu_11:4673757 5 957 0.522466039707419
or51e1 tsi_11:4673757 6 957 0.626959247648903
or51e1 yri_11:4673757 3 957 0.313479623824451
or51l1 acb_11:5020213 13 948 1.37130801687764
or51l1 asw_11:5020213 12 948 1.26582278481013
or51l1 beb_11:5020213 7 948 0.738396624472574
or51l1 cdx_11:5020213 7 948 0.738396624472574
or51l1 ceu_11:5020213 7 948 0.738396624472574
or51l1 chb_11:5020213 7 948 0.738396624472574
or51l1 chs_11:5020213 7 948 0.738396624472574
or51l1 clm_11:5020213 8 948 0.843881856540084
or51l1 esn_11:5020213 11 948 1.16033755274262
or51l1 fin_11:5020213 7 948 0.738396624472574
or51l1 gbr_11:5020213 6 948 0.632911392405063
or51l1 gih_11:5020213 7 948 0.738396624472574
or51l1 gwd_11:5020213 9 948 0.949367088607595
or51l1 ibs_11:5020213 11 948 1.16033755274262
or51l1 itu_11:5020213 6 948 0.632911392405063
or51l1 jpt_11:5020213 7 948 0.738396624472574
or51l1 khv_11:5020213 7 948 0.738396624472574
or51l1 lwk_11:5020213 10 948 1.05485232067511
or51l1 msl_11:5020213 9 948 0.949367088607595
or51l1 mxl_11:5020213 9 948 0.949367088607595
or51l1 pel_11:5020213 6 948 0.632911392405063
or51l1 pjl_11:5020213 6 948 0.632911392405063
or51l1 pur_11:5020213 9 948 0.949367088607595
or51l1 stu_11:5020213 5 948 0.527426160337553
or51l1 tsi_11:5020213 7 948 0.738396624472574
or51l1 yri_11:5020213 11 948 1.16033755274262
or5a1 acb 11 948 1.16033755274262
or5a1 asw 10 948 1.05485232067511
or5a1 beb 11 948 1.16033755274262
or5a1 cdx 6 948 0.632911392405063
or5a1 ceu 6 948 0.632911392405063
or5a1 chb 5 948 0.527426160337553
or5a1 chs 8 948 0.843881856540084
or5a1 clm 7 948 0.738396624472574
or5a1 esn 10 948 1.05485232067511
or5a1 fin 6 948 0.632911392405063
or5a1 gbr 8 948 0.843881856540084
or5a1 gih 7 948 0.738396624472574
or5a1 gwd 11 948 1.16033755274262
or5a1 ibs 8 948 0.843881856540084
or5a1 itu 6 948 0.632911392405063
or5a1 jpt 5 948 0.527426160337553
or5a1 khv 6 948 0.632911392405063
or5a1 lwk 15 948 1.58227848101266
or5a1 msl 11 948 1.16033755274262
or5a1 mxl 8 948 0.843881856540084
or5a1 pel 7 948 0.738396624472574
or5a1 pjl 9 948 0.949367088607595
or5a1 pur 8 948 0.843881856540084
or5a1 stu 9 948 0.949367088607595
or5a1 tsi 8 948 0.843881856540084
or5a1 yri 10 948 1.05485232067511
or5an1 acb 4 936 0.427350427350427
or5an1 asw 4 936 0.427350427350427
or5an1 beb 2 936 0.213675213675214
or5an1 cdx 2 936 0.213675213675214
or5an1 ceu 3 936 0.32051282051282
or5an1 chb 3 936 0.32051282051282
or5an1 chs 1 936 0.106837606837607
or5an1 clm 2 936 0.213675213675214
or5an1 esn 7 936 0.747863247863248
or5an1 fin 1 936 0.106837606837607
or5an1 gbr 1 936 0.106837606837607
or5an1 gih 3 936 0.32051282051282
or5an1 gwd 6 936 0.641025641025641
or5an1 ibs 2 936 0.213675213675214
or5an1 itu 3 936 0.32051282051282
or5an1 jpt 3 936 0.32051282051282
or5an1 khv 3 936 0.32051282051282
or5an1 lwk 6 936 0.641025641025641
or5an1 msl 6 936 0.641025641025641
or5an1 mxl 3 936 0.32051282051282
or5an1 pel 3 936 0.32051282051282
or5an1 pjl 3 936 0.32051282051282
or5an1 pur 5 936 0.534188034188034
or5an1 stu 3 936 0.32051282051282
or5an1 tsi 2 936 0.213675213675214
or5an1 yri 6 936 0.641025641025641
or5k1 acb 11 927 1.1866235167206
or5k1 asw 11 927 1.1866235167206
or5k1 beb 1 927 0.107874865156419
or5k1 cdx 2 927 0.215749730312837
or5k1 ceu 2 927 0.215749730312837
or5k1 chb 1 927 0.107874865156419
or5k1 chs 5 927 0.539374325782093
or5k1 clm 11 927 1.1866235167206
or5k1 esn 10 927 1.07874865156419
or5k1 fin 2 927 0.215749730312837
or5k1 gbr 4 927 0.431499460625674
or5k1 gih 4 927 0.431499460625674
or5k1 gwd 10 927 1.07874865156419
or5k1 ibs 8 927 0.862998921251348
or5k1 itu 5 927 0.539374325782093
or5k1 jpt 2 927 0.215749730312837
or5k1 khv 2 927 0.215749730312837
or5k1 lwk 11 927 1.1866235167206
or5k1 msl 8 927 0.862998921251348
or5k1 mxl 3 927 0.323624595469256
or5k1 pel 5 927 0.539374325782093
or5k1 pjl 4 927 0.431499460625674
or5k1 pur 7 927 0.75512405609493
or5k1 stu 3 927 0.323624595469256
or5k1 tsi 5 927 0.539374325782093
or5k1 yri 12 927 1.29449838187702
or8k3 acb 7 939 0.745473908413206
or8k3 asw 4 939 0.425985090521832
or8k3 beb 4 939 0.425985090521832
or8k3 cdx 2 939 0.212992545260916
or8k3 ceu 4 939 0.425985090521832
or8k3 chb 5 939 0.53248136315229
or8k3 chs 2 939 0.212992545260916
or8k3 clm 8 939 0.851970181043664
or8k3 esn 5 939 0.53248136315229
or8k3 fin 3 939 0.319488817891374
or8k3 gbr 5 939 0.53248136315229
or8k3 gih 4 939 0.425985090521832
or8k3 gwd 9 939 0.958466453674121
or8k3 ibs 5 939 0.53248136315229
or8k3 itu 5 939 0.53248136315229
or8k3 jpt 4 939 0.425985090521832
or8k3 khv 3 939 0.319488817891374
or8k3 lwk 5 939 0.53248136315229
or8k3 msl 6 939 0.638977635782748
or8k3 mxl 2 939 0.212992545260916
or8k3 pel 3 939 0.319488817891374
or8k3 pjl 5 939 0.53248136315229
or8k3 pur 3 939 0.319488817891374
or8k3 stu 4 939 0.425985090521832
or8k3 tsi 3 939 0.319488817891374
or8k3 yri 7 939 0.745473908413206
